# Transformation Mapping (Old -> New): {1: 11, 2: 7, 3: 9, 4: 8, 5: 2, 6: 6, 7: 4, 8: 1, 9: 3, 10: 5, 11: 10}

param :N:px py:=
1       121.0   178.5
2       121.7   255.2
3       73.7    164.6
4       115.3   224.0
5       82.0    282.6
6       57.2    189.8
7       176.3   274.2
8       151.9   239.0
9       116.3   273.4
10      88.8    241.4
11      160.9   211.8
;

param :E:d=
1       3       49.3
1       4       45.8
1       11      51.9
2       4       31.9
2       7       57.9
2       9       19.0
2       10      35.5
3       1       49.3
3       4       72.5
3       6       30.2
3       10      78.3
4       1       45.8
4       2       31.9
4       3       72.5
4       8       39.6
5       6       96.0
5       9       35.5
6       3       30.2
6       5       96.0
7       2       57.9
7       8       42.8
7       9       60.1
7       11      64.3
8       4       39.6
8       7       42.8
8       11      28.7
9       2       19.0
9       5       35.5
9       7       60.1
9       10      42.2
10      2       35.5
10      3       78.3
10      9       42.2
11      1       51.9
11      7       64.3
11      8       28.7
;

param:K:v L:=
1       60.0    5
2       80.0    9
3       70.0    9
;

set G:=1,2,3;

param c:1 2 3:=
1       90.0    56.0    70.0
2       90.0    66.0    74.0
3       100.0   54.0    64.0
;

param a:1 2 3:=
1       42      88      0
2       48      0       68
3       -20     0       0
4       0       0       0
5       0       0       0
6       0       -60     -36
7       0       44      0
8       0       0       0
9       0       0       0
10      -40     0       0
11      0       0       -28
;

param w:= default 1;
param H:= 360.0;
param U:= 2;
