param :N:px py:=
1       290.7   267.6
2       166.0   96.5
3       98.5    213.4
4       -35.2   390.5
5       173.4   384.9
6       103.0   259.7
7       304.5   176.5
8       55.3    448.3
9       50.6    376.3
10      145.3   292.4
11      188.0   185.2
;

param :E:d=
1       5       165.8
1       7       92.2
1       10      147.6
1       11      131.8
2       3       135.0
2       7       160.0
3       2       135.0
3       4       221.8
3       6       46.4
3       11      94.0
4       3       221.8
4       6       190.2
4       8       107.4
4       9       87.0
5       1       165.8
5       8       134.0
5       10      96.6
6       3       46.4
6       4       190.2
6       10      53.4
6       11      113.2
7       1       92.2
7       2       160.0
8       4       107.4
8       5       134.0
8       9       72.2
9       4       87.0
9       8       72.2
9       10      126.4
10      1       147.6
10      5       96.6
10      6       53.4
10      9       126.4
11      1       131.8
11      3       94.0
11      6       113.2
;

param:K:v L:=
1       60.0    2
2       80.0    3
3       70.0    3
;

set G:=1,2,3;

param c:1 2 3:=
1       33.8    21.0    26.2
2       33.8    24.8    27.8
3       37.5    20.2    24.0
;

param a:1 2 3:=
1       -7      0       0
2       0       0       0
3       0       0       0
4       0       0       0
5       0       0       -10
6       18      0       25
7       0       -22     0
8       15      33      0
9       0       16      0
10      0       0       0
11      -15     0       0
;

param w:= default 1;
param H:= 1000.0;
param U:= 1;
