NodeID,Name,Type,Lat,Lon
0.0,,junction,25.285684,105.0628
1.0,"{""alt_name"":""\u76D8\u5DDE"",""capital"":""6"",""name"":""\u76D8\u5DDE\u5E02"",""name:en"":""Panzhou"",""name:fr"":""Panzhou"",""name:ko"":""\uD310\uC800\uC6B0\uC2DC"",""name:ml"":""\u0D2A\u0D3E\u0D7B\u0D1C\u0D57"",""name:zh"":""\u76D8\u5DDE\u5E02"",""name:zh-Hans"":""\u76D8\u5DDE\u5E02"",""name:zh-Hant"":""\u76E4\u5DDE\u5E02"",""old_name"":""Pan"",""place:CN"":""county-level_city"",""population"":""224500"",""population:date"":""2022"",""population:note"":""\u4EBA\u53E3\u4E3A\u57CE\u533A\u4EBA\u53E3"",""source:population"":""2022\u5E74\u57CE\u5E02\u5EFA\u8BBE\u7EDF\u8BA1\u5E74\u9274"",""wikidata"":""Q1200299"",""wikipedia"":""zh:\u76D8\u5DDE\u5E02""}",city,25.722366,104.470383
3.0,"{""alt_name"":""\u51EF\u91CC"",""alt_name:en"":""Miao-tsu-tzu-chih-ch'u"",""alt_name:zh"":""\u51EF\u91CC"",""capital"":""5"",""gns:ADM1"":""18"",""gns:DSG"":""ADM3"",""gns:UFI"":""-1913381"",""gns:UNI"":""10069340"",""name"":""\u51EF\u91CC\u5E02"",""name:cs"":""Kchaj-li"",""name:de"":""Kaili"",""name:en"":""Kaili"",""name:et"":""Kaili"",""name:eu"":""Kaili"",""name:fr"":""Kaili"",""name:ja"":""\u51F1\u91CC\u5E02"",""name:ko"":""\uCE74\uC774\uB9AC\uC2DC"",""name:ru"":""\u041A\u0430\u0439\u043B\u0438"",""name:uk"":""\u041A\u0430\u0439\u043B\u0456"",""name:vi"":""Kh\u1EA3i L\u00FD"",""name:zh"":""\u51EF\u91CC\u5E02"",""name:zh-Hans"":""\u51EF\u91CC\u5E02"",""name:zh-Hant"":""\u51F1\u91CC\u5E02"",""name:zh-Latn-pinyin"":""K\u01CEil\u01D0 Sh\u00EC"",""place:CN"":""county-level_city"",""population"":""709057"",""population:date"":""2020-11-01"",""wikidata"":""Q1359251""}",city,26.571054,107.976952
4.0,,junction,25.978409,109.115382
5.0,"{""alt_name"":""\u4ECE\u6C5F"",""alt_name:en"":""Congjiang County"",""alt_name:zh"":""\u4ECE\u6C5F"",""capital"":""6"",""name"":""\u4ECE\u6C5F\u53BF"",""name:en"":""Congjiang"",""name:fr"":""Congjiang"",""name:ko"":""\uCDA9\uC7A5\uD604"",""name:zh"":""\u4ECE\u6C5F\u53BF"",""name:zh-Hans"":""\u4ECE\u6C5F\u53BF"",""name:zh-Hant"":""\u5F9E\u6C5F\u7E23"",""place:CN"":""county"",""population"":""72200"",""population:date"":""2022"",""population:note"":""\u4EBA\u53E3\u4E3A\u57CE\u533A\u4EBA\u53E3"",""wikidata"":""Q1125741""}",city,25.757307,108.901253
6.0,"{""capital"":""6"",""name"":""\u666E\u5B89\u53BF"",""name:en"":""Pu'an"",""name:fr"":""Pu'an"",""name:ko"":""\uD478\uC548\uD604"",""name:zh"":""\u666E\u5B89\u53BF"",""name:zh-Hans"":""\u666E\u5B89\u53BF"",""name:zh-Hant"":""\u666E\u5B89\u7E23"",""place:CN"":""county"",""population"":""42100"",""population:date"":""2022"",""population:note"":""\u4EBA\u53E3\u4E3A\u57CE\u533A\u4EBA\u53E3"",""wikidata"":""Q1200413""}",city,25.790619,104.952469
9.0,"{""alt_name"":""\u5173\u5CAD"",""alt_name:en"":""Kuan-ling Hsien;Guanling Xian;Guanling Bouyeizu Miaozu Zizhixian"",""alt_name:zh"":""\u5173\u5CAD"",""capital"":""6"",""gns:ADM1"":""18"",""gns:DSG"":""ADM3"",""gns:UFI"":""-1907201"",""gns:UNI"":""10069350"",""name"":""\u5173\u5CAD\u53BF"",""name:en"":""Guanling"",""name:fr"":""Guanling"",""name:ko"":""\uAD00\uB9C1\uD604"",""name:vi"":""Quan L\u0129nh"",""name:zh"":""\u5173\u5CAD\u53BF"",""name:zh-Hans"":""\u5173\u5CAD\u53BF"",""name:zh-Hant"":""\u95DC\u5DBA\u7E23"",""official_name"":""\u5173\u5CAD\u5E03\u4F9D\u65CF\u82D7\u65CF\u81EA\u6CBB\u53BF"",""official_name:zh"":""\u5173\u5CAD\u5E03\u4F9D\u65CF\u82D7\u65CF\u81EA\u6CBB\u53BF"",""official_name:zh-Latn-pinyin"":""Guanling Bouyeizu Miaozu Zizhixian"",""place:CN"":""autonomous_county"",""population"":""75800"",""population:date"":""2022"",""population:note"":""\u4EBA\u53E3\u4E3A\u57CE\u533A\u4EBA\u53E3"",""source:name"":""GNS"",""wikidata"":""Q1200595"",""wikipedia"":""en:Guanling Buyei and Miao Autonomous County""}",city,25.947172,105.616646
10.0,"{""alt_name"":""\u4FEE\u6587"",""alt_name:en"":""Xiuwen County"",""alt_name:ko"":""\uC218\uBB38\uD604"",""alt_name:zh"":""\u4FEE\u6587"",""capital"":""6"",""name"":""\u4FEE\u6587\u53BF"",""name:en"":""Xiuwen"",""name:fr"":""Xiuwen"",""name:ko"":""\uC288\uC6D0\uD604"",""name:ml"":""\u0D37\u0D3F\u0D2F\u0D41\u0D35\u0D46\u0D7B"",""name:zh"":""\u4FEE\u6587\u53BF"",""name:zh-Hans"":""\u4FEE\u6587\u53BF"",""name:zh-Hant"":""\u4FEE\u6587\u7E23"",""place:CN"":""county"",""population"":""150700"",""population:date"":""2022"",""population:note"":""\u4EBA\u53E3\u4E3A\u57CE\u533A\u4EBA\u53E3"",""wikidata"":""Q1339828"",""wikipedia"":""zh:\u4FEE\u6587\u53BF""}",city,26.842445,106.588608
14.0,"{""capital"":""6"",""gns:ADM1"":""18"",""gns:DSG"":""ADM3"",""gns:UFI"":""-1923957"",""gns:UNI"":""10069312"",""name"":""\u4E09\u7A57\u53BF"",""name:en"":""Sansui"",""name:fr"":""Sansui"",""name:ko"":""\uC2FC\uC464\uC774\uD604"",""name:vi"":""Tam Tu\u1EC7"",""name:zh"":""\u4E09\u7A57\u53BF"",""name:zh-Hans"":""\u4E09\u7A57\u53BF"",""name:zh-Hant"":""\u4E09\u7A57\u7E23"",""place:CN"":""county"",""population"":""73700"",""population:date"":""2022"",""population:note"":""\u4EBA\u53E3\u4E3A\u57CE\u533A\u4EBA\u53E3"",""wikidata"":""Q1200409"",""wikipedia"":""zh:\u4E09\u7A57\u53BF""}",city,26.957047,108.671715
15.0,"{""alt_name"":""\u9769\u4E1C\u9547;\u9769\u4E1C;\u5251\u6CB3\u53BF"",""alt_name:en"":""Gedong"",""alt_name:zh"":""\u9769\u4E1C\u9547;\u9769\u4E1C;\u5251\u6CB3\u53BF"",""capital"":""6"",""name"":""\u5251\u6CB3\u53BF"",""name:en"":""Jianhe"",""name:fr"":""Jianhe"",""name:ko"":""\uC820\uD5C8\uD604"",""name:zh"":""\u5251\u6CB3\u53BF"",""name:zh-Hans"":""\u5251\u6CB3\u53BF"",""name:zh-Hant"":""\u528D\u6CB3\u7E23"",""name:zh-Latn-pinyin"":""g\u00E9d\u014Dng zh\u00E8n"",""place:CN"":""county"",""population"":""79600"",""population:date"":""2022"",""population:note"":""\u4EBA\u53E3\u4E3A\u57CE\u533A\u4EBA\u53E3"",""wikidata"":""Q14173862"",""wikipedia"":""zh:\u5251\u6CB3\u53BF""}",city,26.733223,108.450928
