param :N:px py:=
1       102.5   -163.3
2       100.0   -64.8
3       54.8    -75.3
4       110.0   29.2
5       144.0   -65.3
6       75.4    1.6
7       176.5   -9.2
8       56.8    -139.6
9       87.8    -124.3
10      123.8   -74.5
11      134.3   -21.3
;

param :E:d=
1       5       106.5
1       8       51.5
1       9       41.8
1       10      91.3
2       3       46.4
2       6       70.9
2       9       60.6
2       10      25.6
3       2       46.4
3       6       79.6
3       8       64.3
4       6       44.2
4       7       76.8
5       1       106.5
5       7       64.8
5       10      22.2
5       11      45.1
6       2       70.9
6       3       79.6
6       4       44.2
6       11      63.3
7       4       76.8
7       5       64.8
8       1       51.5
8       3       64.3
8       9       34.6
9       1       41.8
9       2       60.6
9       8       34.6
10      1       91.3
10      2       25.6
10      5       22.2
10      11      54.3
11      5       45.1
11      6       63.3
11      10      54.3
;

param:K:v L:=
1       60.0    7
2       80.0    5
;

set G:=1,2,3;

param c:1 2 3:=
1       64.9    45.7    39.5
2       64.9    37.2    55.8
;

param a:1 2 3:=
1       0       0       0
2       0       0       0
3       0       0       -15
4       0       -33     0
5       0       0       0
6       -11     0       0
7       0       0       0
8       22      49      0
9       0       23      0
10      26      0       38
11      -22     0       0
;

param w:= default 1;
param H:= 480.0;
param U:= 1;
