param :N:px py:=
1       92.1    -100.8
2       -25.5   32.2
3       -75.5   -34.6
4       -120.5  173.3
5       35.8    82.4
6       -136.2  95.2
7       15.6    197.4
8       1.5     -121.0
9       26.6    -63.9
10      18.6    46.3
11      -28.4   131.9
;

param :E:d=
1       5       191.7
1       8       92.7
1       9       75.2
1       10      164.3
2       3       83.5
2       6       127.6
2       9       109.2
2       10      46.1
3       2       83.5
3       6       143.3
3       8       115.8
4       6       79.6
4       7       138.2
5       1       191.7
5       7       116.6
5       10      40.0
5       11      81.2
6       2       127.6
6       3       143.3
6       4       79.6
6       11      113.9
7       4       138.2
7       5       116.6
8       1       92.7
8       3       115.8
8       9       62.4
9       1       75.2
9       2       109.2
9       8       62.4
10      1       164.3
10      2       46.1
10      5       40.0
10      11      97.8
11      5       81.2
11      6       113.9
11      10      97.8
;

param:K:v L:=
1       60.0    7
2       80.0    5
;

set G:=1,2,3;

param c:1 2 3:=
1       38.7    27.2    23.5
2       38.7    22.2    33.3
;

param a:1 2 3:=
1       0       0       0
2       0       0       0
3       0       0       -9
4       0       -20     0
5       0       0       0
6       -6      0       0
7       0       0       0
8       13      29      0
9       0       14      0
10      15      0       22
11      -13     0       0
;

param w:= default 1;
param H:= 864.0;
param U:= 1;
