param :N:px py:=
1       125.8   -36.5
2       76.6    -98.2
3       109.8   -115.0
4       22.2    -150.7
5       50.0    -75.3
6       57.6    -151.6
7       1.2     -93.0
8       141.6   -74.6
9       114.7   -68.0
10      67.1    -80.1
11      33.3    -107.2
;

param :E:d=
1       5       85.2
1       8       41.2
1       9       33.4
1       10      73.0
2       3       37.1
2       6       56.7
2       9       48.5
2       10      20.5
3       2       37.1
3       6       63.7
3       8       51.5
4       6       35.4
4       7       61.4
5       1       85.2
5       7       51.8
5       10      17.8
5       11      36.1
6       2       56.7
6       3       63.7
6       4       35.4
6       11      50.6
7       4       61.4
7       5       51.8
8       1       41.2
8       3       51.5
8       9       27.7
9       1       33.4
9       2       48.5
9       8       27.7
10      1       73.0
10      2       20.5
10      5       17.8
10      11      43.5
11      5       36.1
11      6       50.6
11      10      43.5
;

param:K:v L:=
1       60.0    7
2       80.0    5
;

set G:=1,2,3;

param c:1 2 3:=
1       43.3    30.5    26.3
2       43.3    24.8    37.3
;

param a:1 2 3:=
1       0       0       0
2       0       0       0
3       0       0       -10
4       0       -22     0
5       0       0       0
6       -7      0       0
7       0       0       0
8       15      32      0
9       0       15      0
10      17      0       25
11      -15     0       0
;

param w:= default 1;
param H:= 380.0;
param U:= 1;
