param :N:px py:=
1       -69.1   218.5
2       -68.2   331.0
3       -138.6  198.0
4       -77.6   285.2
5       -126.3  371.1
6       -162.8  235.1
7       11.9    358.8
8       -23.9   307.2
9       -76.2   357.6
10      -116.4  310.7
11      -10.7   267.2
;

param :E:d=
1       3       72.4
1       4       67.1
1       11      76.1
2       4       46.8
2       7       84.9
2       9       27.8
2       10      52.1
3       1       72.4
3       4       106.4
3       6       44.3
3       10      114.8
4       1       67.1
4       2       46.8
4       3       106.4
4       8       58.1
5       6       140.8
5       9       52.0
6       3       44.3
6       5       140.8
7       2       84.9
7       8       62.8
7       9       88.1
7       11      94.4
8       4       58.1
8       7       62.8
8       11      42.1
9       2       27.8
9       5       52.0
9       7       88.1
9       10      61.8
10      2       52.1
10      3       114.8
10      9       61.8
11      1       76.1
11      7       94.4
11      8       42.1
;

param:K:v L:=
1       60.0    5
2       80.0    9
;

set G:=1,2,3;

param c:1 2 3:=
1       54.0    33.6    42.0
2       54.0    39.6    44.4
;

param a:1 2 3:=
1       25      52      0
2       28      0       40
3       -12     0       0
4       0       0       0
5       0       0       0
6       0       -36     -21
7       0       26      0
8       0       0       0
9       0       0       0
10      -24     0       0
11      0       0       -16
;

param w:= default 1;
param H:= 530.0;
param U:= 1;
