#线性变换后的算例数据文件
#基于原始数据进行旋转/缩放/平移变换

#set N;				#节点集合
param :N:px py:=
1	42.7	118.7
2	-10.9	116.3
3	2.7	6.2
4	22.7	88.7
5	16.2	25.1
6	82.7	-61.3
7	42.7	28.7
8	78.0	61.7
9	99.5	-18.4
10	2.7	-61.3
11	34.4	-28.4
;

#set E in {N,N};		#边(路段)的集合
#param d{E};			#边的距离（公里）
param :E:d=
1	2	53.7
2	1	53.7
1	4	36.1
4	1	36.1
1	8	67.0
8	1	67.0
2	3	110.9
3	2	110.9
2	4	43.5
4	2	43.5
2	5	95.1
5	2	95.1
3	5	23.2
5	3	23.2
3	10	67.5
10	3	67.5
3	11	47.0
11	3	47.0
4	7	63.2
7	4	63.2
5	7	26.7
7	5	26.7
5	11	56.6
11	5	56.6
6	9	46.1
9	6	46.1
6	10	80.0
10	6	80.0
7	8	48.3
8	7	48.3
7	9	73.8
9	7	73.8
8	9	82.9
9	8	82.9
9	11	65.9
11	9	65.9
;

#set K;				#车辆的集合
#param v{K};		#车辆的速度（公里/小时）
#param L{K} in N;	#车的初始位置
param:K:v L:=
1	60.0	10
2	80.0	3
3   70.0    3
;

#set G;				#物品的集合
set G:=1,2,3;

#param c{K,G};		#车辆装载不同物品的最大数量（容量）
param c:1 2 3:=
1	45.0	28.0	35.0
2	45.0	33.0	37.0
3   50.0    27.0    32.0
;

#param a{N,G};		#节点存储物品的数量，正数——表示仓库；负数——表示需求
param a:1 2 3:=
1	21	44	0
2	0	0	0
3	0	0	0
4	0	22	0
5	24	0	34
6	0	-30	0
7	0	0	0
8	0	0	-14
9	-10	0	0
10	0	0	0
11	-20	0	0
;

#param w{N,G};		#不同节点对不同物品需求的权重
param w:= default 1;

param H:= 500.0;
param U:= 1;
