param :N:px py:=
1       -240.1  103.9
2       -373.0  76.9
3       -347.9  18.3
4       -502.6  68.0
5       -382.8  136.7
6       -456.9  27.8
7       -466.5  167.2
8       -261.3  36.2
9       -289.5  74.6
10      -365.4  111.4
11      -440.0  113.0
;

param :E:d=
1       5       146.4
1       8       70.8
1       9       57.4
1       10      125.5
2       3       63.8
2       6       97.5
2       9       83.4
2       10      35.2
3       2       63.8
3       6       109.5
3       8       88.4
4       6       60.8
4       7       105.6
5       1       146.4
5       7       89.1
5       10      30.6
5       11      62.0
6       2       97.5
6       3       109.5
6       4       60.8
6       11      87.0
7       4       105.6
7       5       89.1
8       1       70.8
8       3       88.4
8       9       47.6
9       1       57.4
9       2       83.4
9       8       47.6
10      1       125.5
10      2       35.2
10      5       30.6
10      11      74.7
11      5       62.0
11      6       87.0
11      10      74.7
;

param:K:v L:=
1       60.0    7
2       80.0    5
;

set G:=1,2,3;

param c:1 2 3:=
1       50.6    35.6    30.8
2       50.6    29.0    43.6
;

param a:1 2 3:=
1       0       0       0
2       0       0       0
3       0       0       -12
4       0       -26     0
5       0       0       0
6       -8      0       0
7       0       0       0
8       17      38      0
9       0       18      0
10      20      0       29
11      -17     0       0
;

param w:= default 1;
param H:= 660.0;
param U:= 1;
