#线性变换后的算例数据文件
#基于原始数据进行旋转/缩放/平移变换

#set N;				#节点集合
param :N:px py:=
1	78.1	-27.0
2	137.6	34.8
3	67.7	73.9
4	85.9	10.4
5	61.8	49.3
6	-56.2	16.8
7	33.6	17.5
8	10.0	-38.8
9	-54.0	-23.4
10	34.3	107.3
11	14.7	55.2
;

#set E in {N,N};		#边(路段)的集合
#param d{E};			#边的距离（公里）
param :E:d=
1	2	85.8
2	1	85.8
1	4	38.3
4	1	38.3
1	8	69.2
8	1	69.2
2	3	80.1
3	2	80.1
2	4	57.1
4	2	57.1
2	5	77.2
5	2	77.2
3	5	25.3
5	3	25.3
3	10	47.3
10	3	47.3
3	11	56.2
11	3	56.2
4	7	52.8
7	4	52.8
5	7	42.5
7	5	42.5
5	11	47.4
11	5	47.4
6	9	40.3
9	6	40.3
6	10	128.0
10	6	128.0
7	8	61.0
8	7	61.0
7	9	96.7
9	7	96.7
8	9	65.8
9	8	65.8
9	11	104.4
11	9	104.4
;

#set K;				#车辆的集合
#param v{K};		#车辆的速度（公里/小时）
#param L{K} in N;	#车的初始位置
param:K:v L:=
1	60.0	10
2	80.0	3
3	70.0	3
;

#set G;				#物品的集合
set G:=1,2,3;

#param c{K,G};		#车辆装载不同物品的最大数量（容量）
param c:1 2 3:=
1	45.0	28.0	35.0
2	45.0	33.0	37.0
3	50.0	27.0	32.0
;

#param a{N,G};		#节点存储物品的数量，正数——表示仓库；负数——表示需求
param a:1 2 3:=
1	0	0	-14
2	0	22	0
3	0	0	0
4	0	0	0
5	24	0	34
6	0	-30	-18
7	0	0	0
8	21	44	0
9	-10	0	0
10	0	0	0
11	-20	0	0
;

#param w{N,G};		#不同节点对不同物品需求的权重
param w:= default 1;

param H:= 480.0;
param U:= 2;
